iter	Passed	Remaining
0	1	123
1	2	115
2	3	111
3	4	106
4	5	106
5	6	104
6	7	102
7	8	99
8	9	97
9	10	95
10	11	92
11	12	89
12	13	87
13	13	85
14	14	83
15	15	82
16	16	80
17	17	78
18	17	76
19	18	74
20	19	73
21	20	73
22	21	72
23	22	71
24	23	69
25	24	68
26	24	66
27	25	65
28	26	63
29	26	62
30	27	61
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	52
38	33	51
39	33	50
40	34	50
41	35	48
42	36	47
43	36	46
44	37	45
45	38	45
46	39	44
47	39	43
48	40	42
49	41	41
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	32
59	47	31
60	48	31
61	50	30
62	50	29
63	51	28
64	52	28
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	22
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	62	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	66	11
85	67	11
86	68	10
87	69	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
