iter	Passed	Remaining
0	1	1164
1	2	1107
2	3	1035
3	3	977
4	5	1148
5	7	1204
6	8	1175
7	9	1136
8	10	1137
9	11	1125
10	12	1111
11	13	1092
12	14	1077
13	15	1063
14	16	1052
15	16	1042
16	17	1034
17	18	1028
18	20	1034
19	21	1045
20	22	1045
21	23	1039
22	24	1033
23	25	1028
24	26	1023
25	27	1015
26	28	1011
27	29	1007
28	30	1006
29	31	1005
30	32	1001
31	32	997
32	33	994
33	35	1014
34	36	1017
35	37	1013
36	38	1010
37	39	1007
38	40	1004
39	41	999
40	42	995
41	43	993
42	44	991
43	45	987
44	46	983
45	47	979
46	48	977
47	49	977
48	51	993
49	52	991
50	53	987
51	54	984
52	54	981
53	55	978
54	56	977
55	57	977
56	59	977
57	59	973
58	60	968
59	61	965
60	62	959
61	63	954
62	64	951
63	65	955
64	66	959
65	67	959
66	68	956
67	69	954
68	70	953
69	72	962
70	73	962
71	74	961
72	75	960
73	76	960
74	77	956
75	78	952
76	79	957
77	81	967
78	83	968
79	84	968
80	85	966
81	86	963
82	86	955
83	87	957
84	88	953
85	89	951
86	90	946
87	90	942
88	91	939
89	92	935
90	93	932
91	96	952
92	98	959
93	99	960
94	100	958
95	101	957
96	102	954
97	103	951
98	104	948
99	105	947
100	106	943
101	106	941
102	107	937
103	108	932
104	110	937
105	111	942
106	112	941
107	113	939
108	114	936
109	115	933
110	116	933
111	117	933
112	118	930
113	119	928
114	120	925
115	121	922
116	121	918
117	122	914
118	123	911
119	124	916
120	126	921
121	127	918
122	128	919
123	129	917
124	130	915
125	131	914
126	132	912
127	133	910
128	134	908
129	135	905
130	135	902
131	136	899
132	137	897
133	139	903
134	141	904
135	142	905
136	143	904
137	144	904
138	145	902
139	146	901
140	147	900
141	148	896
142	149	894
143	150	892
144	151	890
145	151	888
146	153	888
147	155	897
148	157	898
149	158	898
150	159	896
151	160	893
152	161	892
153	162	890
154	162	888
155	163	885
156	164	883
157	165	880
158	165	877
159	166	874
160	167	870
161	169	878
162	171	879
163	172	879
164	173	877
165	174	875
166	175	873
167	175	871
168	176	868
169	177	866
170	178	863
171	178	861
172	179	859
173	180	857
174	181	855
175	182	854
176	184	858
177	186	859
178	187	858
179	188	857
180	189	855
181	189	853
182	190	852
183	191	850
184	192	848
185	193	846
186	194	844
187	195	842
188	195	840
189	196	838
190	198	840
191	200	844
192	201	843
193	202	840
194	203	839
195	204	836
196	204	835
197	205	832
198	206	830
199	207	828
200	207	826
201	208	824
202	209	822
203	210	820
204	211	818
